,Object Detection,Unknown,Competition,Text Generation,Unknown,Game AI,Time Series Prediction,Sentiment Analysis,Robot Control,Data Utilities,ML Models,Unknown,Learning Tutorial,Medical Diagnose,Word Embedding,Recommender System,Transfer Learning,Self Driving,Image Recognition,Unknown,Image Segmentation,RL Models,Other,Development Tools,Image Style Transfer,Deployment APP
Installation Error,10,273,1,5,5064,308,2,1,1,17,8,112,8,0,2,1,53,0,3,107,0,1,63,477,1,38
Reinforcement Learning,4,14,2,8,11,217,12,1,2,32,47,833,67,1,9,2,87,0,427,18,27,186,54,73,9,7
Device Use,7,119,0,3,167,244,2,1,4,27,3,434,6,3,7,1,154,0,9,18,10,3,80,2536,0,125
Training Anomaly,3,22,0,4,4,92,7,0,2,34,52,2080,2,2,5,2,1302,0,17,15,9,5,20,31,12,2
Code Error,38,676,3,37,337,486,24,1,1,102,49,2555,23,5,18,6,302,0,49,384,51,5,189,432,17,28
Probability,4,32,0,11,10,235,14,2,0,46,69,1980,6,3,26,4,164,0,22,20,41,13,240,365,46,20
Build Error,5,640,0,5,330,158,3,1,1,59,5,103,7,0,5,2,181,1,1,176,12,1,36,468,1,1098
Image Preprocessing,43,158,0,15,10,171,1,0,0,347,10,586,4,8,4,1,254,3,52,32,1681,0,27,60,21,12
Review,24,122,3,43,84,819,21,1,2,109,27,1133,23,5,88,20,211,0,35,401,35,6,150,376,11,73
Model Conversion,38,482,0,6,13,67,1,0,0,30,5,283,3,0,3,0,573,2,4,24,20,0,11,754,0,282
Evaluation Metrics,6,43,4,15,6,131,278,0,0,480,127,1047,1,3,14,7,1098,2,12,17,37,0,23,28,10,9
Static Graph,2,431,0,3,13,172,1,0,1,30,27,1700,3,0,8,3,149,0,8,61,14,1,67,1282,4,41
Model Load,6,672,0,27,9,85,4,0,0,57,24,650,0,0,21,0,3418,0,16,29,15,2,16,142,9,23
Data Type,1,30,0,12,11,45,0,0,1,117,44,2903,5,0,5,1,30,0,11,9,50,0,5,83,5,8
Tensor Operation,1,7,0,2,6,45,3,0,0,43,10,3588,0,1,24,0,1,0,3,10,31,0,26,356,3,3
API Misuse,9,133,1,37,37,594,7,0,0,69,19,941,2,0,5,1,177,0,8,99,26,0,63,207,160,13
Loss Function,0,26,0,4,2,47,2,0,0,3,9,3805,2,0,7,0,63,0,12,14,7,17,33,261,13,6
Classification,11,14,1,11,4,78,24,1,0,175,118,1233,4,7,38,10,227,1,22,23,110,3,36,32,10,5
Tensor Shape,2,2,0,6,0,13,3,0,0,11,4,3265,0,0,3,0,23,0,32,9,53,0,3,17,9,0
API Usage,8,488,2,30,84,618,15,3,0,105,26,1560,26,0,15,2,385,0,66,574,49,2,37,337,20,21
Layer Operation,0,13,0,11,1,13,1,0,0,4,15,3128,0,0,6,0,105,0,47,14,11,0,5,35,50,0
Error Traceback,3,418,0,2,56,26,2,0,16,12,3,103,4,0,2,1,7,10,1,7,2,0,7,106,1,5
Embedding,1,26,0,366,0,50,2,2,0,52,13,707,0,0,846,17,51,0,4,10,12,0,8,35,10,6
Data Load,6,183,6,8,5,94,9,0,0,1926,107,556,0,0,24,5,64,1,7,28,32,0,14,180,4,19
LSTM,7,9,0,246,2,59,365,0,1,65,34,1482,2,1,12,5,30,0,9,11,5,1,42,32,5,1
Data Batch,2,22,0,11,0,61,6,0,2,439,2,1759,1,0,5,2,164,0,3,7,26,2,11,84,10,4
Object Detection API,867,179,0,2,12,114,1,1,2,68,4,147,1,3,0,1,291,7,1,12,158,0,25,56,0,24
